Agency,Service Description,Vision,FTE,Liz Categories,Liz Skills,Agency Category,Liz Countries,Liz Cities,Projects Won,Total Projects Won,SS Take,Category Specialism,Industry Experience,Briefs Received,Total Briefs Received,Pitch Rating,Agency Score,Female
Buddy Media,"A data-led, results-focused performance marketing agency.",Pioneering social first marketing to deliver viral social activations,,"Media/PR & Events,Advertising/Brand/Creative","Media Strategy/Planning,Media Buying,SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Experiential Marketing,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development",Social Media,UK,London,"MoCo marketing,MOCO Board Comms,MOCO marketing Jul-Oct extension,Quote Me Happy Content,MOCO Marketing (November/December),MOCO content ",6,Brillant at finding unique and engaging ways to connect brands with their target audience.,"Social Strategy,Organic Search + Content,Paid Search + Content,TikTok","Entertainment,Technology,Drinks,Hospitality,Financial Services","VOX social media account,MOCO marketing Jul-Oct extension,MoCo marketing,MOCO Board Comms,Quote Me Happy Content,EV Location Partner Campaign,MOCO Marketing (November/December),MOCO content ,MOCO 2023 - Agency fee,MOCO 2023 - Media Budget ,Shepper B2B Marketing,Social Media - Pride Birmingham event coverage,Aviva Social Media Team",13,6.3,10.0,
BUMP,Connecting brands to the future of music & entertainment through the power of communities,Connecting Brands To Music Culture,11,"Media/PR & Events,Advertising/Brand/Creative","Media Planning/Strategy,Media Buying,SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Social Media (Strategy/Content/Management)",Specialism,UK,London,,0,Unique Platform has 230k Gen Z,Gen Z Insight & Engagement,"FMCG,Retail,Entertainment",,0,NaN,NaN,
Calls9,Unlock your full potential,"We believe every business should have access to the technology and expertise they need to realise their vision and full potential - no barriers, no limits, no exceptions - a revolution open to everyone.",10-19,"Tech & Development,Customer & Business Strategy","Product Strategy,Mobile App Development,Software Development,Web Development,Blockchain / Web 3,Growth & Innovation Strategy",Web & Mobile Design,UK,Leeds,,0,Trully innovation tech company building safer and more socially responsible technology,"UX & UI,Software Development,Tech Architecture,Web3","FS,Aviation,Healthcare,Education",,0,NaN,NaN,checked
Catch the Sun Communications,"Copywriting. Editing. Proofreading. Around the world, around the clock.",,1-9,Advertising/Brand/Creative,Copywriting,Campaign Activation,Australia,Canberra,,0,,Copywriting.,,Website copy,1,7.0,NaN,checked
Chello,The bridge between brand and content,,20-49,"Advertising/Brand/Creative,Experience & Design,Media/PR & Events","Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Develoment,Copywriting,Video Production,Social & Influencer Marketing,UX/UI Design,Graphic Design","Brand Strategy,Creative & Production,Strategic Design",Australia,"Sydney,Gold Coast",,0,,,,,0,NaN,NaN,checked
CHS,"Award-Winning, Digital First, Full Service Agency",,50 or more,,,"Brand Strategy,Creative & Production,Digital Marketing",,,,0,,,,,0,NaN,NaN,
Common Ground,We listen. We create content. We inspire change.,"A research, insight and content agency focused on movement, health and wellbeing",1-9,"Advertising/Brand/Creative,Media/PR & Events","Brand Strategy,Creative Production,Video Production,Social & Influencer Marketing",Specialism,"Portugal,UK","Porto,Manchester,London",,0,Research experts in healthcare & wellbeing,Health & Wellbeing,"Health,Healthcare,HealthTech",,0,NaN,NaN,checked
Common Ventures,Independent brand and storytelling agency. We make good.,,10-19,"Advertising/Brand/Creative,Experience & Design,Tech & Development,Media/PR & Events","Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Develoment,Copywriting,Video Production,Social & Influencer Marketing,UX/UI Design,Brand Design,Graphic Design,Web Development","Brand Strategy,Creative & Production,UX/UI Design",Australia,"Sydney,Darwin",,0,,,,,0,NaN,NaN,checked
CommUnique,We help you communicate and test the effectiveness of your ESG strategies.,Taking Care OF People & Planet,4,Customer & Business Strategy,Sustainability Strategy,"Sustainability Strategy,B Corp","UK,UAE,Saudi Arabia","London,Dubai",,0,"Experts in communicating and testing the effectiveness of your Environmental, Social and Governance (ESG) strategies.",Sustainability Strategy,"Financial Services,Non-Profit,Pensions,Public Sector,Insurance",,0,NaN,NaN,checked
Comuzi, design & innvoation studio,,11,"Experience & Design,Customer & Business Strategy,Tech & Development","Customer Experience Design,Proposition Design,Service Design",Innovation & Strategy,UK,London,,0,,"Experience Design,Accessibility",,,0,NaN,NaN,
Coredo,International software development agency for forward-thinking companies, We have mastered the skill of delivering high-quality software development projects with international teams,10-19,Tech & Development,"Mobile App Development,Software Development,Web Development",Web & Mobile Design,"Australia,Finland,India","Sydney,Helsinki,Bangalore",,0,Core team of technology consultants with an outsourced team of senior software developers from India who can scale quickly,Software Development,"Tech,Health,Retail,Automotive,Financial Services",,0,NaN,NaN,
Courageous,We create outstanding websites for ambitious businesses,Creating outstanding websites for ambitious companies,1-9,"Tech & Development,Advertising/Brand/Creative","Software Development,Web Development,Creative Production,eCommerce & Marketplacing,Digital Campaign Development","Web & Mobile Design,Ecommerce",UK,"Manchester,Oldham",,0,"Since 2007 they have provided website design and development, ecommerce websites, marketplace integration and digital marketing growth strategies.","Amazon,Ebay,UX & UI","Retail,Sport,Fashion",,0,NaN,NaN,
CreateFuture,CreateFuture is an innovation & design company. We develop new and improved products and services for global brands.,,10-19,"Customer & Business Strategy,Experience & Design","Proposition Design,Growth & Innovation Strategy","Innovation & Strategy,B Corp","UK,Spain","Edinburgh,London,Barcelona",,0,,"Proposition Design,New Experience Design",,"Prop Dev (EV and CC Insurance),Panthera App Experience Design Vision,JLR FS CX Vision,Connected Car prop dev sprint,Employer Value Proposition Creative Partner",5,8.7,NaN,checked
Croud,"Innovative digital marketing , transformative results, powered by a disruptive model",,50 or more,,,"Social & Content,Digital Marketing,Media Buying",,,,0,,,,SEO - Legal Services,1,NaN,NaN,
Curious Ways,We’re Curious Ways – a creative partnership making human brands for a digital world.,That people are a companies greatest asset,1-9,"Advertising/Brand/Creative,Tech & Development,Experience & Design,Customer & Business Strategy","Web Development,Brand Strategy,Proposition Design,UX/UI Design","Brand.,Video Production",UK,"London,Frome",,0,Cutting edge brand & web design who built their reputation working with start-ups,"Brand Strategy,Brand Design.,Film.","Media,Fintech,Tech",,0,NaN,NaN,
Cutwater,Full-service creative and media agency. Builders of distinctive brands.,,20-49,Advertising/Brand/Creative,"Advertising,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Copywriting,Video Production","Social & Content,Brand Strategy",USA,"San Francisco,New York City",,0,,,,,0,NaN,NaN,
CXR Agency,"Virtual Experiences, Modern Solutions",,50 or more,,,"Brand Strategy,UX/UI Design,Software Development",,,,0,,,,,0,NaN,NaN,
Cyber-duck,leading digital transformation agency,"Transformation delivered with depth, breadth and scale",91,"Tech & Development,Data/ Insight & Research,Experience & Design,Customer & Business Strategy","Data Analysis & Insights,UX/UI Design,Mobile App Development,Software Development,Web Development,Product Strategy","Web & Mobile Design,Ecommerce",UK,"Elstree,London",,0,"Experts in implementing service design, technology and optimisation that deliver global results.","UX & UI,UX Research,Prototypes,Software Development,Tech Architecture","FMCG,Non-Profit,Financial Services,Insurance,Fintech,Technology,Pensions,Sport,Hospitality,Transport,Food,Travel",,0,NaN,NaN,
Dark Blue,"We plan, design and build digital projects for brands, agencies and start-ups",,1-9,"Tech & Development,Experience & Design,Advertising/Brand/Creative","Mobile App Development,Software Development,Web Development,UX & UI,Creative Production",Web & Mobile Design,UK,London,,0,Web development specialists,UX & UI,,UX Improvement,1,NaN,NaN,
Daughter Studio,Independent creative agency of senior thinkers and doers.,We give brands the impact they deserve by separating them from the crowd.,,Advertising/Brand/Creative,"Brand Strategy,Advertising,Brand Design,Copywriting,Creative Production","Advertising,Brand.",UK,"Leamington Spa,Warwickshire","Prop Dev (EV and CC Insurance),""Retail Brand Positioning
""",2,Big Agency Experience Spin Off. First Class,"ATL Campaigns,BTL Campaigns,Brand Strategy,Brand Design.","Financial Services,Automotive,Utilities,Entertainment","VOX creative concepts ,Equity Release campaign,Prop Dev (EV and CC Insurance),Digital Marketing Campaign,""Retail Brand Positioning
"",Rebrand & Research,Employer Value Proposition Creative Partner",7,9.0,NaN,
Deepend,We are strategic design consultants that are experts in digital experience and product development.,Positive Change by Design. We are strategic design consultants that are experts in digital experience and product development.,20-49,"Experience & Design,Tech & Development,Media/PR & Events","Customer Experience Design,Proposition Design,Service Design,UX/UI Design,Brand Design,Graphic Design,Mobile App Development,Software Development,Web Development,CMS & DXP,Media Strategy & Planning,SEO & SEM,Digital Performance Marketing","Proposition Design,Strategic Design,UX/UI Design","Australia,USA","Sydney,Brisbane,Los Angeles,New York City",,0,"End-to-end digital agency with a strong track record across industries and 20 years of experience. Have mobile, innovation and creative brands within Deepend Group.

","Innovation,Mobile & Web Build,Creative & Production,Technology,Data Analytics","Pensions,Education,Healthcare,Government,Tourism",,0,NaN,NaN,
Disrupt ,,,,"Advertising/Brand/Creative,Media/PR & Events","Digital Campaign Development,Video Production,Brand Strategy,Creative Production,Social & Influencer Marketing,Social Media (Strategy/Content/Management)","Brand Strategy,Creative & Production,Social & Content",UK,London,,0,,,,,0,NaN,NaN,
DO. Agency,"An independent creative company, building unforgettable brand experiences.",,10-19,"Advertising/Brand/Creative,Experience & Design,Media/PR & Events","Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Develoment,Copywriting,Video Production,Social & Influencer Marketing,UX/UI Design,Brand Design,Graphic Design","Brand Strategy,Creative & Production,Social & Content","Australia,Japan","Sydney,Tokyo",,0,,,,,0,NaN,NaN,
Dupree International,Strategic & Creative Brand Development Agency,,10-19,"Advertising/Brand/Creative,Media/PR & Events","Brand Strategy,Social Media (Strategy/Content/Management),Media Strategy/Planning,PR,Events","Public Relations,Advertising,Brand.",UK,"Grantham,Stamford Lincolnshire",,0,,"Brand Strategy,Brand Design.,Consumer PR,ATL Campaigns,BTL Campaigns",,Drive Footfall and Participation at Events,1,NaN,NaN,
Edge,"Full service brand creative, content and media agency.",,20-49,,,"Creative & Production,Social & Content,Digital Marketing",,,,0,,,,,0,NaN,NaN,
Ellipsis,Customer Loyalty Experts,"WE ARE THE CUSTOMER LOYALTY EXPERTS. We use Customer Science® to understand, manage and grow customer value",10-19,"Advertising/Brand/Creative,Experience & Design,Media/PR & Events","Customer Strategy,Loyalty Strategy,Data Analysis & Insights","Proposition Design,CRM & Loyalty","Australia,Singapore","Sydney,Melbourne",Cover Sense ph3 (data science),1,Customer loyalty strategy and propositions specialists,"Data Science,Customer Loyalty,Customer Strategy,Data Analytics","Retail,Health,Financial Services,Insurance,Airlines,Tourism,Telecoms","Cover Sense ph3 (data science),Pulse Project - Phase 2 Research",2,NaN,10.0,
Energy Saving Trust,Energy Saving Trust is an independent organisation working to address the climate emergency.,,50 or more,"Customer & Business Strategy,Data/ Insight & Research","Service Design,UX/UI Design,Product Strategy,Growth & Innovation Strategy",Specialism,UK,"London,Belfast,Edinburgh,Cardiff",,0,,"Sustainability Strategy,Energy Experts",,,0,NaN,NaN,
Experience,Experiential Event Design & Production Globally,,20-49,,,"Brand Strategy,Creative & Production,Spatial & Event Design",,,,0,,,,Biffa Corporate Event Support ,1,NaN,NaN,
Five by Five Global,Creative Problem Solvers,,50 or more,,,"Brand Strategy,Creative & Production,Social & Content",,,,0,,,,MR-Lovisa Instagram Filters,1,NaN,NaN,
Flume,"Welcome to Flume, an independent research agency.",,10-19,"Tech & Development,Experience & Design,Customer & Business Strategy","Segmentation,Qual,Quant",Research & Insight,UK,Birmingham,,0,,"Quant.,Qual.",,"Vehicle Connected Services - Personas,Brand positioning",2,8.0,NaN,checked
Fonto,"A unique consumer-driven data ecosystem, helping businesses make better decisions",,20-49,Data/ Insight & Research,"Research Tools,Data Analysis & Insights,Data Storytelling & Visualisation","Research & Insight,Data Visualisation",Australia,Sydney,,0,,,,,0,NaN,NaN,
Found.,We are the digital marketing agency that helps brands get found online.,,50 or more,Data/ Insight & Research,"SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Advertising,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Copywriting,Video Production","Social Media,SEO & PPC",UK,London,,0,,"Digital Marketing,Social & Content",,Recruitment Campaign Marketing Support,1,NaN,NaN,checked
Fox + Hare,We’re an independent purpose-driven creative consultancy helping businesses + brands make a positive impact,,10-19,"Media/PR & Events,Advertising/Brand/Creative","Social Media (Strategy/Content/Management),Creative Production,Sustainability Strategy","Advertising,B Corp",UK,London,,0,,"ATL Campaigns,BTL Campaigns",,,0,NaN,NaN,checked
Frontier,North Star Brand Strategy for the Audience Age,,1-9,"Advertising/Brand/Creative,Customer & Business Strategy","Brand Strategy,Brand Design,Growth & Innovation Strategy",Brand.,UK,London,,0,,"Brand Strategy,Brand Design.",,"MyAviva Engagement,Skin Care Brief ",2,8.0,NaN,
Fun Agency Ltd,SERIOUSLY GOOD BRAND DEFINING IDEAS,,1-9,"Advertising/Brand/Creative,Media/PR & Events","Brand Strategy,Digital Campaign Development,Advertising,Brand Design,Digital Campaign Develoment",Campaign Activation,UK,Leeds,,0,,"Copywriting.,Packaging,POS,Illustration",,Skin Care Brief ,1,NaN,NaN,
G-W,Grafikwerket is an independent brand and product studio helping fast-growing companies design for scale.,Independent brand and product studio helping fast-growing companies design for scale.,10-19,"Advertising/Brand/Creative,Experience & Design","Brand Strategy,Creative Production,UX/UI Design,Brand Design",Web & Mobile Design,Sweden,Stockholm,,0,Design focused brand and product studio working with startups/scaleups,"UX & UI,UX Research",,Life QtB journey optimisation,1,9.0,NaN,
GH05T Ltd.,We are a social media agency operating in the brand space.,,20-49,"Media/PR & Events,Advertising/Brand/Creative","SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Social Media (Strategy/Content/Management)",Social Media,UK,London,"EV Location Partner Campaign,DW Customer Strategy,DW Media Buying ,VOX social media account,Social Media Veezu,Social Media support,Aviva Social Media Team",7,,"Social Strategy,Organic Search + Content,Paid Search + Content",,"VOX social media account,EV Location Partner Campaign,DW Customer Strategy,Customer Engagement Triggers,DW Media Buying ,Social Media Veezu,Aviva Social Media Team,HSBC Creative Resource",8,8.0,9.0,
Glue,Design experienced by millions,,1-9,Experience & Design,"Customer Experience Design,Proposition Design,Service Design,UX/UI Design",Web & Mobile Design,UK,Birmingham,,0,,"UX & UI,Prototypes",,,0,NaN,NaN,
Good Innovation,Strategy & Proposition,"We help organisations that want to make a difference do it smarter, faster and with greater impact by finding innovative solutions to the world’s most difficult social problems",10,"Customer & Business Strategy,Experience & Design","Sustainability Strategy,Proposition Design,Customer Strategy","Innovation & Strategy,B Corp",UK,London,"Sustainable Home Insurance,Home sustainability (smoke test),Climate Prop",3,A new breed of social impact innovation consulatncy,"Proposition Design,Sustainability Strategy","Non-Profit,Financial Services,Sustainability","Sustainable Home Insurance,Climate Prop,Home sustainability (smoke test),Protection proposition exploration",4,NaN,10.0,
HACKMASTERS,We help visionaries master the future.,Master the Future Fast,1-9,"Customer & Business Strategy,Experience & Design,Tech & Development","Sustainability Strategy,Proposition Design,Growth & Innovation Strategy,Product Strategy,Software Development",Innovation & Strategy,UK,London,,0,Brilliant at making the future tangible with over 600 experts,"New Tech Strategy,Proposition Design,New Experience Design","Defence,Cyber Security,Tech,Energy,Utilities,Automotive,FMCG,Consulting,Oil,Transport,Airlines","Connected Car prop dev sprint,Exec Workshop",2,NaN,NaN,
